Carimbo de data/hora,Pensando na última vez que você fez ou atualizou seu currículo: o que foi mais difícil ou te fez perder mais tempo?,Qual dessas situações mais descreve você agora?,"Você faz a busca de emprego e o envio de currículo majoritariamente pelo celular, pelo computador, ou os dois? Alguma vez a falta de internet/dados no celular te impediu de enviar um currículo na hora?","Você já teve a sensação de que seu currículo foi ignorado sem resposta, mesmo achando que tinha o perfil para a vaga? Com que frequência isso acontece?","Imagine um app grátis que monta e envia seu currículo. Ele tem uma opção paga (avulsa, sem mensalidade) em que a IA reescreve seu currículo para se adaptar a uma vaga específica. Você pagaria por isso? Quanto pagaria por currículo?"
06/08/2026 20:27:00,Ajustar a formatação e o visual,Buscando o primeiro emprego,Os dois igualmente,Às vezes,R$ 10–20
06/08/2026 20:27:11,O que é relevante ou não,Buscando o primeiro emprego,Os dois igualmente,Raramente,R$ 10–20
06/08/2026 20:31:49,Ajustar a formatação e o visual,virei empresário,Os dois igualmente,Às vezes,R$ 10–20
06/08/2026 20:44:07,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Às vezes,Mais de R$ 20
06/08/2026 20:53:24,Ajustar a formatação e o visual,Buscando recolocação na mesma área,Os dois igualmente,Raramente,R$ 10–20
06/08/2026 20:53:45,Não ter certeza se o currículo estava bom,Empregado público ,Os dois igualmente,Às vezes,R$ 5–10
06/08/2026 20:56:00,Não ter certeza se o currículo estava bom,Buscando o primeiro emprego,Os dois igualmente,Nunca,R$ 10–20
06/08/2026 22:49:06,Escrever as experiências e os resultados,Mudando de área ou profissão,Só pelo computador,,Não pagaria
07/08/2026 06:50:13,Ajustar a formatação e o visual,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,Não pagaria
07/08/2026 08:28:01,O que é relevante ou não,Desempregado(a) há mais de 6 meses,Os dois igualmente,Às vezes,Não pagaria
08/08/2026 13:15:20,Não ter certeza se o currículo estava bom,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
08/08/2026 18:54:52,O que é relevante ou não,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Na maioria das vezes,Não pagaria
09/08/2026 08:07:28,O que é relevante ou não,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Na maioria das vezes,Mais de R$ 20
09/08/2026 10:03:25,Ajustar a formatação e o visual,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
09/08/2026 20:56:57,Não ter certeza se o currículo estava bom,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Na maioria das vezes,R$ 5–10
09/08/2026 21:19:33,O que é relevante ou não,Buscando recolocação na mesma área,Os dois igualmente,Às vezes,Até R$ 5
09/08/2026 22:23:19,Não ter certeza se o currículo estava bom,Estável no emprego ,Os dois igualmente,Às vezes,Até R$ 5
10/08/2026 00:05:35,Não tive tanta dificuldade,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Na maioria das vezes,Não pagaria
10/08/2026 06:59:44,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Uso os dois e não tive problema com dados,Às vezes,R$ 10–20
11/08/2026 12:45:40,Ajustar a formatação e o visual,Buscando recolocação na mesma área,Só pelo computador,Na maioria das vezes,R$ 10–20
11/08/2026 12:47:15,O que é relevante ou não,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
11/08/2026 12:48:06,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
11/08/2026 12:48:43,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
11/08/2026 12:55:25,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Às vezes,Até R$ 5
11/08/2026 13:02:50,Ajustar a formatação e o visual,Buscando o primeiro emprego,Só pelo computador,Na maioria das vezes,Não pagaria
11/08/2026 13:16:16,O que é relevante ou não,Buscando o primeiro emprego,Só pelo computador,Às vezes,Até R$ 5
11/08/2026 13:16:52,O que é relevante ou não,Empregado buscando crescimento na empresa atual,Os dois igualmente,Na maioria das vezes,R$ 5–10
11/08/2026 13:17:39,Escrever as experiências e os resultados,Buscando recolocação na mesma área,Os dois igualmente,Às vezes,Até R$ 5
11/08/2026 13:21:56,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 5–10
11/08/2026 13:23:00,O que é relevante ou não,Desempregado(a) há mais de 6 meses,Os dois igualmente,Às vezes,R$ 10–20
11/08/2026 13:25:28,O que é relevante ou não,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Às vezes,Até R$ 5
11/08/2026 13:36:01,Não ter certeza se o currículo estava bom,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Na maioria das vezes,R$ 10–20
11/08/2026 14:00:34,Não ter certeza se o currículo estava bom,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,Não pagaria
11/08/2026 14:06:21,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Só pelo computador,Às vezes,R$ 10–20
11/08/2026 14:21:55,Não ter certeza se o currículo estava bom,Desempregado(a) há mais de 6 meses,Só pelo celular,Às vezes,R$ 5–10
11/08/2026 14:25:56,Escrever as experiências e os resultados,"Empregado(a), mas de olho em oportunidades",Os dois igualmente,Às vezes,R$ 10–20
